name,category,url,imageUrl,initialPrice,monthlyPrice,overview,detail
【新品】GoPro HERO12 Black アクションカメラ,カメラ,https://rental.kikito.docomo.ne.jp/rental/devices/GP000790/,https://contents.kikito.docomo.ne.jp/contents/devices/GP000790/thumbnail/thumbnail.png,2150,4300,・驚異の5.3Kビデオ ・抜群の耐久性と防水性 ・新次元のビデオブレ補正,"◆スタッフコメント
前モデルと比較して撮影可能時間が増加し、より色鮮やかに撮影できるHDRに対応しました。あらゆる用途に使える8:7のアスペクト比で、SNS向けの縦型動画の撮影もフィットします。
【商品紹介】
クラス最高レベルの画質、さらに進化したHyperSmoothビデオブレ補正、大幅に向上したバッテリー性能。そのすべてが、世界トップクラスの多機能カメラで実現しました。
5.3KビデオとHDR（ハイダイナミックレンジ）で、かつてない細部まで色鮮やかに撮影できます。ボディは軽量で耐久性にも優れており、水陸のあらゆるシーンで活躍。高度なビデオブレ補正も備えているので、悪路でも常にスムーズな映像を撮影できます。
■驚異の5.3Kビデオ
クラス最高の画質となる5.3K解像度 (4K比で91%アップ) を新たに実現。HERO12 Blackでは、4K、2.7K、1080pの解像度でもビデオの撮影が可能です。
■最大8倍のスローモーション
120フレーム/秒の4倍スローモーションを、驚異の4K解像度で撮影できます。さらに2.7Kでは、240フレーム/秒の8倍スローモーションにも対応します。
■抜群の耐久性と防水性
水深10mまでの防水性と、衝撃をものともしない耐久性。撥水レンズが水をはじき、水中でも鮮明に撮影できます。
■エミー賞受賞ビデオブレ補正
HyperSmooth (ハイパースムーズ) 6.0により、カメラ内ビデオブレ補正が再び新次元に。どんなに激しく動いても、驚くほどスムーズなコンテンツを撮影できます。カメラ内センサーとソフトウェアブレ補正はエミー賞を獲得しています。※掲載画像には付属しないアクセサリーが含まれています。
■自動ブースト
HyperSmooth (ハイパースムーズ) 6.0により、HERO12 Blackでは、シーンのスピードと動きに応じてビデオのブレを補正しつつ、常に最広角の視野角で撮影できます。
■水平ロック機能搭載
HyperSmooth (ハイパースムーズ) 6.0には水平ロック機能も搭載。カメラを360度回転しても、映像をかつてないほど簡単に水平に維持できます。(※3)
■最大2倍にアップした撮影可能時間
電源管理の改善により、HERO12 Blackでは5.3K60での連続録画時間が2倍 (70分)(※1)、5.3K30では1.5時間以上、1080p30では2.5時間以上の連続録画が可能です。(※2)
■ワイドでも、縦向きでも、フルフレームでも
ワイド画面向けのフォーマットも、SNS向けの新しい縦向きショットも、ワンタップで切り替えられます。さらに汎用性が抜群のフルフレームにも対応。撮影後に、Quik (クイック) アプリであらゆる用途向けにトリミングできます。
■新しいBluetoothオーディオサポート
インタビューやナレーションの録音で、AppleのAirPodsやBluetoothイヤホンなどのワイヤレスマイクを使えるようになりました。遠隔での音声コマンドを使う場合や、カメラのアラートを聞き取りたい場合にも便利です。
※1: HERO11 Blackで5.3K60撮影を行い、熱によるシャットダウンに至るまでの時間(35分)との比較。気温25℃、風速0.6m/秒
※2: 気温25℃、風速0.6m/秒で測定した撮影時間。広角デジタルレンズを装着、ワイヤレス接続、BluetoothおよびHyperSmooth有効、前方と後方のLCDスクリーン有効(1分のスクリーンセーバー)、音声コントロールオフ
※3: 水平ロックは、5.3K60、4K120、2.7K240、1080p240での撮影時には利用できません。これらの高性能設定では水平維持が使用されます

※詳しくはメーカーページをご確認ください
※バッテリーの持ち時間については、こちらをご参照ください。
※予備のバッテリーをセットにしたアクセサリーセットもご用意しております。どうぞご利用ください。
【同梱品内容】
①本体×1
②Enduroバッテリー×1
③粘着性ベースマウント×1
④マウント用バックル×1
⑤サムスクリュー×1
⑥USBケーブル×1
⑦microSDカード(64GB) ×1

他、ご利用ガイドなど書類一式"
【新品】GoPro HERO12 Black アクションカメラ アクセサリーセット,カメラ,https://rental.kikito.docomo.ne.jp/rental/devices/GP000791/,https://contents.kikito.docomo.ne.jp/contents/devices/GP000791/thumbnail/thumbnail.png,2550,5100,・驚異の5.3Kビデオ ・抜群の耐久性と防水性 ・新次元のビデオブレ補正,"◆スタッフコメント
前モデルと比較して撮影可能時間が増加し、より色鮮やかに撮影できるHDRに対応しました。あらゆる用途に使える8:7のアスペクト比で、SNS向けの縦型動画の撮影もフィットします。
【商品紹介】
クラス最高レベルの画質、さらに進化したHyperSmoothビデオブレ補正、大幅に向上したバッテリー性能。そのすべてが、世界トップクラスの多機能カメラで実現しました。
5.3KビデオとHDR（ハイダイナミックレンジ）で、かつてない細部まで色鮮やかに撮影できます。ボディは軽量で耐久性にも優れており、水陸のあらゆるシーンで活躍。高度なビデオブレ補正も備えているので、悪路でも常にスムーズな映像を撮影できます。
■驚異の5.3Kビデオ
クラス最高の画質となる5.3K解像度 (4K比で91%アップ) を新たに実現。HERO12 Blackでは、4K、2.7K、1080pの解像度でもビデオの撮影が可能です。
■最大8倍のスローモーション
120フレーム/秒の4倍スローモーションを、驚異の4K解像度で撮影できます。さらに2.7Kでは、240フレーム/秒の8倍スローモーションにも対応します。
■抜群の耐久性と防水性
水深10mまでの防水性と、衝撃をものともしない耐久性。撥水レンズが水をはじき、水中でも鮮明に撮影できます。
■エミー賞受賞ビデオブレ補正
HyperSmooth (ハイパースムーズ) 6.0により、カメラ内ビデオブレ補正が再び新次元に。どんなに激しく動いても、驚くほどスムーズなコンテンツを撮影できます。カメラ内センサーとソフトウェアブレ補正はエミー賞を獲得しています。※掲載画像には付属しないアクセサリーが含まれています。
■自動ブースト
HyperSmooth (ハイパースムーズ) 6.0により、HERO12 Blackでは、シーンのスピードと動きに応じてビデオのブレを補正しつつ、常に最広角の視野角で撮影できます。
■水平ロック機能搭載
HyperSmooth (ハイパースムーズ) 6.0には水平ロック機能も搭載。カメラを360度回転しても、映像をかつてないほど簡単に水平に維持できます。(※3)
■最大2倍にアップした撮影可能時間
電源管理の改善により、HERO12 Blackでは5.3K60での連続録画時間が2倍 (70分)(※1)、5.3K30では1.5時間以上、1080p30では2.5時間以上の連続録画が可能です。(※2)
■ワイドでも、縦向きでも、フルフレームでも
ワイド画面向けのフォーマットも、SNS向けの新しい縦向きショットも、ワンタップで切り替えられます。さらに汎用性が抜群のフルフレームにも対応。撮影後に、Quik (クイック) アプリであらゆる用途向けにトリミングできます。
■新しいBluetoothオーディオサポート
インタビューやナレーションの録音で、AppleのAirPodsやBluetoothイヤホンなどのワイヤレスマイクを使えるようになりました。遠隔での音声コマンドを使う場合や、カメラのアラートを聞き取りたい場合にも便利です。
※1: HERO11 Blackで5.3K60撮影を行い、熱によるシャットダウンに至るまでの時間(35分)との比較。気温25℃、風速0.6m/秒
※2: 気温25℃、風速0.6m/秒で測定した撮影時間。広角デジタルレンズを装着、ワイヤレス接続、BluetoothおよびHyperSmooth有効、前方と後方のLCDスクリーン有効(1分のスクリーンセーバー)、音声コントロールオフ
※3: 水平ロックは、5.3K60、4K120、2.7K240、1080p240での撮影時には利用できません。これらの高性能設定では水平維持が使用されます

※詳しくはメーカーページをご確認ください
【同梱品内容】
①本体×1
②Enduroバッテリー×3
③デュアルバッテリーチャージャー×1
④ダイブハウジング（スケルトンバックドア含む）×1
⑤3-way 2.0×1
⑥粘着性ベースマウント×1
⑦マウント用バックル×2
⑧サムスクリュー×2
⑨USBケーブル×2
⑩microSDカード(64GB)×1
　※microSDカードは返却忘れにご注意ください。

他、取扱説明書など書類一式
"
【B級品】GoPro HERO10 Black アクションカメラ アクセサリーセット,カメラ,https://rental.kikito.docomo.ne.jp/rental/devices/GP000421/,https://contents.kikito.docomo.ne.jp/contents/devices/GP000421/thumbnail/thumbnail.png,1550,3100,・驚異の5.3K60 + 4K120ビデオ ・高精細23メガピクセル ・強力なパワーツール,"本商品は外観にキズや凹みがあるもののため価格を安価に設定しております。動作に支障はございません。
【商品紹介】
■高精細23メガピクセル、驚異の5.3K60+4K120ビデオ
GoPro史上最高のカメラ。解像度が4Kより91%アップした超鮮明な5.3Kビデオ、強化された低光量での撮影性能、ビデオからの19.6MPのフレームグラブ。■HyperSmooth4.0
HyperSmooth4.0スタビライゼーションを備えたGoProから1080pでライブストリーム。TimeWarp3.0とナイトラプスで、タイムラプスをアップグレード。2.7K画質でも8倍スローモーションの撮影に対応。■全く新しいGP2プロセッサー
GP2によって、フロントスクリーンの映像がよりスムーズに。リアタッチスクリーンのレスポンスも向上。

※詳しくはメーカーページをご確認ください
【同梱品内容】
①本体×1
②充電式バッテリー×2
③デュアルバッテリーチャージャー×1
④マウント用バックル×2
⑤粘着性ベースマウント×1
⑥サムスクリュー×2
⑦USB-C ケーブル×2
⑧ダイブハウジング(カバー含む)×1
⑨カメラケース×1
⑩3-way2.0×1

他、microSDカード(64GB)、取扱説明書など書類一式"
GoPro HERO12 Black アクションカメラ,カメラ,https://rental.kikito.docomo.ne.jp/rental/devices/GP000700/,https://contents.kikito.docomo.ne.jp/contents/devices/GP000700/thumbnail/thumbnail.png,1750,3500,・驚異の5.3Kビデオ ・抜群の耐久性と防水性 ・新次元のビデオブレ補正,"【商品紹介】
クラス最高レベルの画質、さらに進化したHyperSmoothビデオブレ補正、大幅に向上したバッテリー性能。そのすべてが、世界トップクラスの多機能カメラで実現しました。
5.3KビデオとHDR（ハイダイナミックレンジ）で、かつてない細部まで色鮮やかに撮影できます。ボディは軽量で耐久性にも優れており、水陸のあらゆるシーンで活躍。高度なビデオブレ補正も備えているので、悪路でも常にスムーズな映像を撮影できます。
■驚異の5.3Kビデオ
クラス最高の画質となる5.3K解像度 (4K比で91%アップ) を新たに実現。HERO12 Blackでは、4K、2.7K、1080pの解像度でもビデオの撮影が可能です。
■最大8倍のスローモーション
120フレーム/秒の4倍スローモーションを、驚異の4K解像度で撮影できます。さらに2.7Kでは、240フレーム/秒の8倍スローモーションにも対応します。
■抜群の耐久性と防水性
水深10mまでの防水性と、衝撃をものともしない耐久性。撥水レンズが水をはじき、水中でも鮮明に撮影できます。
■エミー賞受賞ビデオブレ補正
HyperSmooth (ハイパースムーズ) 6.0により、カメラ内ビデオブレ補正が再び新次元に。どんなに激しく動いても、驚くほどスムーズなコンテンツを撮影できます。カメラ内センサーとソフトウェアブレ補正はエミー賞を獲得しています。※掲載画像には付属しないアクセサリーが含まれています。
■自動ブースト
HyperSmooth (ハイパースムーズ) 6.0により、HERO12 Blackでは、シーンのスピードと動きに応じてビデオのブレを補正しつつ、常に最広角の視野角で撮影できます。
■水平ロック機能搭載
HyperSmooth (ハイパースムーズ) 6.0には水平ロック機能も搭載。カメラを360度回転しても、映像をかつてないほど簡単に水平に維持できます。(※3)
■最大2倍にアップした撮影可能時間
電源管理の改善により、HERO12 Blackでは5.3K60での連続録画時間が2倍 (70分)(※1)、5.3K30では1.5時間以上、1080p30では2.5時間以上の連続録画が可能です。(※2)
■ワイドでも、縦向きでも、フルフレームでも
ワイド画面向けのフォーマットも、SNS向けの新しい縦向きショットも、ワンタップで切り替えられます。さらに汎用性が抜群のフルフレームにも対応。撮影後に、Quik (クイック) アプリであらゆる用途向けにトリミングできます。
■新しいBluetoothオーディオサポート
インタビューやナレーションの録音で、AppleのAirPodsやBluetoothイヤホンなどのワイヤレスマイクを使えるようになりました。遠隔での音声コマンドを使う場合や、カメラのアラートを聞き取りたい場合にも便利です。
※1: HERO11 Blackで5.3K60撮影を行い、熱によるシャットダウンに至るまでの時間(35分)との比較。気温25℃、風速0.6m/秒
※2: 気温25℃、風速0.6m/秒で測定した撮影時間。広角デジタルレンズを装着、ワイヤレス接続、BluetoothおよびHyperSmooth有効、前方と後方のLCDスクリーン有効(1分のスクリーンセーバー)、音声コントロールオフ
※3: 水平ロックは、5.3K60、4K120、2.7K240、1080p240での撮影時には利用できません。これらの高性能設定では水平維持が使用されます

※詳しくはメーカーページをご確認ください
※バッテリーの持ち時間については、こちらをご参照ください。
※予備のバッテリーをセットにしたアクセサリーセットもご用意しております。どうぞご利用ください。
【同梱品内容】
①本体×1
②Enduroバッテリー×1
③粘着性ベースマウント×1
④マウント用バックル×1
⑤サムスクリュー×1
⑥USBケーブル×1
⑦microSDカード(64GB) ×1

他、ご利用ガイドなど書類一式"
GoPro HERO12 Black アクションカメラ アクセサリーセット,カメラ,https://rental.kikito.docomo.ne.jp/rental/devices/GP000701/,https://contents.kikito.docomo.ne.jp/contents/devices/GP000701/thumbnail/thumbnail.png,2450,4900,・驚異の5.3Kビデオ ・抜群の耐久性と防水性 ・新次元のビデオブレ補正,"◆スタッフコメント
前モデルと比較して撮影可能時間が増加し、より色鮮やかに撮影できるHDRに対応しました。あらゆる用途に使える8:7のアスペクト比で、SNS向けの縦型動画の撮影もフィットします。
【商品紹介】
クラス最高レベルの画質、さらに進化したHyperSmoothビデオブレ補正、大幅に向上したバッテリー性能。そのすべてが、世界トップクラスの多機能カメラで実現しました。
5.3KビデオとHDR（ハイダイナミックレンジ）で、かつてない細部まで色鮮やかに撮影できます。ボディは軽量で耐久性にも優れており、水陸のあらゆるシーンで活躍。高度なビデオブレ補正も備えているので、悪路でも常にスムーズな映像を撮影できます。
■驚異の5.3Kビデオ
クラス最高の画質となる5.3K解像度 (4K比で91%アップ) を新たに実現。HERO12 Blackでは、4K、2.7K、1080pの解像度でもビデオの撮影が可能です。
■最大8倍のスローモーション
120フレーム/秒の4倍スローモーションを、驚異の4K解像度で撮影できます。さらに2.7Kでは、240フレーム/秒の8倍スローモーションにも対応します。
■抜群の耐久性と防水性
水深10mまでの防水性と、衝撃をものともしない耐久性。撥水レンズが水をはじき、水中でも鮮明に撮影できます。
■エミー賞受賞ビデオブレ補正
HyperSmooth (ハイパースムーズ) 6.0により、カメラ内ビデオブレ補正が再び新次元に。どんなに激しく動いても、驚くほどスムーズなコンテンツを撮影できます。カメラ内センサーとソフトウェアブレ補正はエミー賞を獲得しています。※掲載画像には付属しないアクセサリーが含まれています。
■自動ブースト
HyperSmooth (ハイパースムーズ) 6.0により、HERO12 Blackでは、シーンのスピードと動きに応じてビデオのブレを補正しつつ、常に最広角の視野角で撮影できます。
■水平ロック機能搭載
HyperSmooth (ハイパースムーズ) 6.0には水平ロック機能も搭載。カメラを360度回転しても、映像をかつてないほど簡単に水平に維持できます。(※3)
■最大2倍にアップした撮影可能時間
電源管理の改善により、HERO12 Blackでは5.3K60での連続録画時間が2倍 (70分)(※1)、5.3K30では1.5時間以上、1080p30では2.5時間以上の連続録画が可能です。(※2)
■ワイドでも、縦向きでも、フルフレームでも
ワイド画面向けのフォーマットも、SNS向けの新しい縦向きショットも、ワンタップで切り替えられます。さらに汎用性が抜群のフルフレームにも対応。撮影後に、Quik (クイック) アプリであらゆる用途向けにトリミングできます。
■新しいBluetoothオーディオサポート
インタビューやナレーションの録音で、AppleのAirPodsやBluetoothイヤホンなどのワイヤレスマイクを使えるようになりました。遠隔での音声コマンドを使う場合や、カメラのアラートを聞き取りたい場合にも便利です。
※1: HERO11 Blackで5.3K60撮影を行い、熱によるシャットダウンに至るまでの時間(35分)との比較。気温25℃、風速0.6m/秒
※2: 気温25℃、風速0.6m/秒で測定した撮影時間。広角デジタルレンズを装着、ワイヤレス接続、BluetoothおよびHyperSmooth有効、前方と後方のLCDスクリーン有効(1分のスクリーンセーバー)、音声コントロールオフ
※3: 水平ロックは、5.3K60、4K120、2.7K240、1080p240での撮影時には利用できません。これらの高性能設定では水平維持が使用されます

※詳しくはメーカーページをご確認ください
【同梱品内容】
①本体×1
②Enduroバッテリー×3
③デュアルバッテリーチャージャー×1
④ダイブハウジング（スケルトンバックドア含む）×1
⑤3-way 2.0×1
⑥粘着性ベースマウント×1
⑦マウント用バックル×2
⑧サムスクリュー×2
⑨USBケーブル×2
⑩microSDカード(64GB)×1
　※microSDカードは返却忘れにご注意ください。

他、取扱説明書など書類一式
"
【新品】GoPro HERO12 Black アクションカメラ Creator Edition,カメラ,https://rental.kikito.docomo.ne.jp/rental/devices/GP000792/,https://contents.kikito.docomo.ne.jp/contents/devices/GP000792/thumbnail/thumbnail.png,2500,5000,・片手に収まるクリエイターエディション ・オールインワンのクリエーションツールキット ・プロレベルの5.3Kビデオ,"【商品紹介】
■片手に収まるクリエイターエディション
HERO12 Black Creator Editionは、Vlogや動画コンテンツ制作、ライブストリーミングなどにぴったりのクリエーションツール。
作品制作に必要なものが、最初からすべて揃っています。■オールインワンのクリエーションツールキット
驚異的な画質を誇る革新的なHERO12 Black。長時間の撮影に対応し、片手でカメラ操作が可能なハンドグリップはあらゆるシーンで活躍します。
豊富なマウントオプション、ライト、マイク、さらに容量無制限のクラウドバックアップも付属します。
■プロレベルの5.3Kビデオ
クラス最高の高画質、5.3K60、4K120、2.7K240により鮮明度抜群のコンテンツを撮影できます。さらに、ビデオからの24.7MP写真の切り出しも可能です。

※詳しくはメーカーページをご確認ください
※HERO12 Black Creator Edition クイックスタートガイドは、こちら
※バッテリーの持ち時間については、こちらをご参照ください。
【同梱品】
HERO12 Blackカメラ本体×1、
Enduroバッテリー×1、
粘着性ベースマウント×1、
マウント用バックル×1、
サムスクリュー×1、
USBケーブル×1、
microSDカード(64GB) ×1、
Voltaバッテリーグリップ×1、
メディアモジュラー×1、
ライトモジュラー×1、
取扱説明書など書類一式"
GoPro HERO11 Black Mini アクションカメラ,カメラ,https://rental.kikito.docomo.ne.jp/rental/devices/GP000600/,https://contents.kikito.docomo.ne.jp/contents/devices/GP000600/thumbnail/thumbnail.png,1300,2600,・ハイライトビデオを自動作成 ・シンプルなワンボタンコントロール ・HyperSmooth 5.0ブレ補正,"【商品紹介】
■ハイライトビデオを自動作成
ハイライトビデオが自動作成され、スマートフォンに送信されます。
■シンプルなワンボタンコントロール
HERO11 Black Miniはフラッグシップカメラと同等のパフォーマンスを備えながら、より簡単に操作することができます。
カメラを向けて撮影するだけで、5.3Kの圧倒的なクオリティのビデオを撮影することができます。あとはそのままその瞬間を楽しむだけ。
ビデオの設定はいつでもQuikアプリから変更することができます。■5.3K60 + 4K120ビデオ
HERO11 Black Miniは、超シンプルな操作で驚異の画質の撮影が可能です。5.3K 60fpsビデオで撮影すれば、プロフェッショナルが撮影したかのようなクオリティに。
高画質のビデオはSNSにも簡単にシェアできます。
■HyperSmooth 5.0ブレ補正
HyperSmooth 5.0が新次元のカメラ内ビデオブレ補正を実現。どんなに揺れの大きい状況でも驚くほど安定したコンテンツを撮影することができます。
■ビルトイン デュアルマウントフィンガー
カメラの底面・背面のデュアルマウントフィンガーによってコンパクトにマウントが可能。マウント方法の選択肢が広がりました。■水深10mの防水性能
頑丈なアウターシェルで覆われており、GoProならではの耐久性がさらにレベルアップ。
※詳しくはメーカーページをご確認ください
【同梱品内容】
①本体×1
②マウント用バックル（ショート）×1
③ベースマウント×1
④サムスクリュー（ショート）×1
⑤USBケーブル×1
⑥ハードシェルカメラケース×1
⑦microSDカード（64GB）×1
他、ご利用ガイドなど書類一式"
GoPro HERO11 Black Mini アクションカメラ アクセサリーセット,カメラ,https://rental.kikito.docomo.ne.jp/rental/devices/GP000601/,https://contents.kikito.docomo.ne.jp/contents/devices/GP000601/thumbnail/thumbnail.png,1400,2800,・ハイライトビデオを自動作成 ・シンプルなワンボタンコントロール ・HyperSmooth 5.0ブレ補正,"【商品紹介】
■ハイライトビデオを自動作成
ハイライトビデオが自動作成され、スマートフォンに送信されます。
■シンプルなワンボタンコントロール
HERO11 Black Miniはフラッグシップカメラと同等のパフォーマンスを備えながら、より簡単に操作することができます。
カメラを向けて撮影するだけで、5.3Kの圧倒的なクオリティのビデオを撮影することができます。あとはそのままその瞬間を楽しむだけ。
ビデオの設定はいつでもQuikアプリから変更することができます。■5.3K60 + 4K120ビデオ
HERO11 Black Miniは、超シンプルな操作で驚異の画質の撮影が可能です。5.3K 60fpsビデオで撮影すれば、プロフェッショナルが撮影したかのようなクオリティに。
高画質のビデオはSNSにも簡単にシェアできます。
■HyperSmooth 5.0ブレ補正
HyperSmooth 5.0が新次元のカメラ内ビデオブレ補正を実現。どんなに揺れの大きい状況でも驚くほど安定したコンテンツを撮影することができます。
■ビルトイン デュアルマウントフィンガー
カメラの底面・背面のデュアルマウントフィンガーによってコンパクトにマウントが可能。マウント方法の選択肢が広がりました。■水深10mの防水性能
頑丈なアウターシェルで覆われており、GoProならではの耐久性がさらにレベルアップ。
※詳しくはメーカーページをご確認ください
【同梱品内容】
①本体×1
②マウント用バックル（ショート）×1
③垂直マウント用バックル×1
④ベースマウント×1
⑤サムスクリュー×2
⑥サムスクリュー（ショート）×1
⑦USBケーブル×1
⑧ハードシェルカメラケース×1
⑨ヘッドストラップ×1
⑩チェストマウントハーネスVer.2.0×1
他、microSDカード（64GB）、ご利用ガイドなど書類一式"
【B級品】GoPro HERO11 Black Mini アクションカメラ アクセサリーセット,カメラ,https://rental.kikito.docomo.ne.jp/rental/devices/GP000621/,https://contents.kikito.docomo.ne.jp/contents/devices/GP000621/thumbnail/thumbnail.png,1150,2300,・ハイライトビデオを自動作成 ・シンプルなワンボタンコントロール ・HyperSmooth5.0ブレ補正,"本商品は外観にキズや凹みがあるもののため価格を安価に設定しております。動作に支障はございません。
【商品紹介】
■ハイライトビデオを自動作成
ハイライトビデオが自動作成され、スマートフォンに送信されます。
■シンプルなワンボタンコントロール
HERO11 Black Miniはフラッグシップカメラと同等のパフォーマンスを備えながら、より簡単に操作することができます。
カメラを向けて撮影するだけで、5.3Kの圧倒的なクオリティのビデオを撮影することができます。あとはそのままその瞬間を楽しむだけ。
ビデオの設定はいつでもQuikアプリから変更することができます。■5.3K60 + 4K120ビデオ
HERO11 Black Miniは、超シンプルな操作で驚異の画質の撮影が可能です。5.3K 60fpsビデオで撮影すれば、プロフェッショナルが撮影したかのようなクオリティに。
高画質のビデオはSNSにも簡単にシェアできます。
■HyperSmooth 5.0ブレ補正
HyperSmooth 5.0が新次元のカメラ内ビデオブレ補正を実現。どんなに揺れの大きい状況でも驚くほど安定したコンテンツを撮影することができます。
■ビルトイン デュアルマウントフィンガー
カメラの底面・背面のデュアルマウントフィンガーによってコンパクトにマウントが可能。マウント方法の選択肢が広がりました。■水深10mの防水性能
頑丈なアウターシェルで覆われており、GoProならではの耐久性がさらにレベルアップ。
※詳しくはメーカーページをご確認ください
【同梱品内容】
①本体×1
②マウント用バックル（ショート）×1
③垂直マウント用バックル×1
④ベースマウント×1
⑤サムスクリュー×2
⑥サムスクリュー（ショート）×1
⑦USBケーブル×1
⑧ハードシェルカメラケース×1
⑨ヘッドストラップ×1
⑩チェストマウントハーネスVer.2.0×1
他、microSDカード（64GB）、ご利用ガイドなど書類一式"
【新品】GoPro HERO11 Black Mini アクションカメラ,カメラ,https://rental.kikito.docomo.ne.jp/rental/devices/GP000690/,https://contents.kikito.docomo.ne.jp/contents/devices/GP000690/thumbnail/thumbnail.png,1400,2800,・ハイライトビデオを自動作成 ・シンプルなワンボタンコントロール ・HyperSmooth 5.0ブレ補正,"【商品紹介】
■ハイライトビデオを自動作成
ハイライトビデオが自動作成され、スマートフォンに送信されます。
■シンプルなワンボタンコントロール
HERO11 Black Miniはフラッグシップカメラと同等のパフォーマンスを備えながら、より簡単に操作することができます。
カメラを向けて撮影するだけで、5.3Kの圧倒的なクオリティのビデオを撮影することができます。あとはそのままその瞬間を楽しむだけ。
ビデオの設定はいつでもQuikアプリから変更することができます。■5.3K60 + 4K120ビデオ
HERO11 Black Miniは、超シンプルな操作で驚異の画質の撮影が可能です。5.3K 60fpsビデオで撮影すれば、プロフェッショナルが撮影したかのようなクオリティに。
高画質のビデオはSNSにも簡単にシェアできます。
■HyperSmooth 5.0ブレ補正
HyperSmooth 5.0が新次元のカメラ内ビデオブレ補正を実現。どんなに揺れの大きい状況でも驚くほど安定したコンテンツを撮影することができます。
■ビルトイン デュアルマウントフィンガー
カメラの底面・背面のデュアルマウントフィンガーによってコンパクトにマウントが可能。マウント方法の選択肢が広がりました。■水深10mの防水性能
頑丈なアウターシェルで覆われており、GoProならではの耐久性がさらにレベルアップ。
※詳しくはメーカーページをご確認ください
【同梱品内容】
①本体×1
②マウント用バックル（ショート）×1
③ベースマウント×1
④サムスクリュー（ショート）×1
⑤USBケーブル×1
⑥ハードシェルカメラケース×1
⑦microSDカード（64GB）×1
他、ご利用ガイドなど書類一式"
